player_name,youtube_url,image_url,FG%,FT%,3P,PTS,REB,AST,STL,BLK,TOV
Nikola Jokic,https://www.youtube-nocookie.com/embed/_9LY8t__wns?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQctqS22RQR0dU7tkz6HY5qaqtPrats45Z3BEbG_vHDA7UTXJluz48ppDXTywo&s,0.624,0.821,1,24.5,11.7,9.7,1.4,0.7,3.7
Joel Embiid,https://www.youtube-nocookie.com/embed/fhJs4u0Sb84?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7DIex4h2jDxCqKMUUGsT7S9yihVn96gxcP6H977LTseuSv296k5VbX5haG_o&s,0.537,0.836,1.2,32.6,10.2,4.2,1.1,1.6,3.3
Tyrese Haliburton,https://www.youtube-nocookie.com/embed/OQ7FTob-XiY?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJrNi7K4acuoAdhGNbbDBrTVPaL-r0nAYdB0p--JFaXfxZ92lpJioDD7Qy1RQ&s,0.488,0.857,2.8,23.3,4,10.5,1.7,0.4,2.6
Jayson Tatum,https://www.youtube-nocookie.com/embed/a09C44uPimQ?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ67ewRLNS-VgxiYNJlx0r7eWHGJ8zLAkjMBhv3GlLJ7oEwgzwjyBTKRhKKY9U&s,0.466,0.858,3.3,29.5,8.2,4.8,1.1,0.7,3
Luka Doncic,https://www.youtube-nocookie.com/embed/BfafLiBGUUo?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAGYOtEmcUNJRNQ-jNbhzKunACTKHfTIGUT1gYXok1fETKZLAfaS7jrEiD8ow&s,0.492,0.761,3,32.7,8.8,8.1,1.3,0.5,3.6
Stephen Curry,https://www.youtube-nocookie.com/embed/hzRCBSdzOWk?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3fD0mQjZdo-eX9iZemrUjzR8dPp5u48FGkMuVEAjnRTc3a6HiYQqgGUOjrg&s,0.476,0.914,4.7,28,5.6,5.6,0.9,0.3,3.3
Kevin Durant,https://www.youtube-nocookie.com/embed/-ikmc0D31x4?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbXn6n1BfiRL25eoxU1fSzhinuqrTJjc3h_VH458ZoLuM9gRdeXX0ouLEemQ&s,0.522,0.9,1.9,25.3,6.5,5,0.7,1,3.1
Lamelo Ball,https://www.youtube-nocookie.com/embed/xG7g-FkXg1M?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtiug0AYINpUwpfwYE6t2EgtQFlPsQav4pxuE-ilEshT-NiZnjmDBuFSMY9wg&s,0.428,0.86,3.7,23.4,7,8.6,1.6,0.4,3.6
Anthony Davis,https://www.youtube-nocookie.com/embed/lpqWx19WrEY?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXRKnn9_79AeXkb5JY17MKt1ltDUK6YOFIYIW2uUPE1TVcnXTNsj5S9FAWjw&s,0.55,0.759,0.3,24.3,11.2,2.8,1.1,2.1,2.1
Kyrie Irving,https://www.youtube-nocookie.com/embed/kMBmnMIMx7g?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrws3F85o97BGH5dPRRSF4uFlxvJBw-Js0wZNx747O9WS5Sa3f5hs4s_m0qQ&s,0.486,0.908,3.2,26.7,4.8,5.5,1.2,0.7,2.2
Damian Lillard,https://www.youtube-nocookie.com/embed/2duM5rMSBnA?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0AChJ5okkC8zyzBlFHMMjrHOZ3UVXDONUAtNkOrPKD9y9s7BovPcnGQW0nw&s,0.461,0.903,3.8,27.2,4,6.9,0.9,0.3,3.1
Giannis Antetokounmpo,https://www.youtube-nocookie.com/embed/dPN2A6i6E_U?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPrc7Fq4hh6Lf5Xs47WGkFLxMEy5_6Z4DO8Tfn79rRvkrmIB-P8DOUAepbOew&s,0.565,0.683,0.9,28.3,11.6,5.7,1.1,1,3.6
Domantas Sabonis,https://www.youtube-nocookie.com/embed/yiZbAF64IyY?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQb_qO29rEqewDUZzbT8fbVvEqSeaZ6kvTV30Elo6w4Oo3n305tHhEWV4Gozvw&s,0.608,0.743,0.5,19.5,12.4,7.3,0.9,0.5,3
Donovan Mitchell,https://www.youtube-nocookie.com/embed/Faiov5IeNYw?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7p0bI4N4Pu6ke8-_ThFcDxXe9gHF7bDCRVEKraTCBIYOibnYGFOR8wWSpQTs&s,0.477,0.86,3.6,27.7,4.4,4.4,1.5,0.3,2.7
Devin Booker,https://www.youtube-nocookie.com/embed/eKG-Fffrf00?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJgmxFtcQ4DMRDhOVbHLP-mC87gRdBUO_wxUHHPlNpxJrJFbrcxww6ZgQ9cDQ&s,0.487,0.861,2.3,27.2,4.9,6.3,1.1,0.4,2.6
Trae Young,https://www.youtube-nocookie.com/embed/dgnTkWmJCQg?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQph62r7OB7j5u5Ded7oNNPGYgIxSdMA_l9RWP0pNS7zo_1pEdnJuM7gllUg&s,0.434,0.895,2.2,27.1,3.4,10,1.1,0.1,4.1
James Harden,https://www.youtube-nocookie.com/embed/p98AqxO7h14?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSDnAtTICCbfi8z0UCZ0GrfrS-kiQRRFocJwROCKy0k2Kc5CenXz0cf7y6tg&s,0.424,0.862,2.4,20,5.6,10.1,1.1,0.5,3.8
Jimmy Butler,https://www.youtube-nocookie.com/embed/0RB6OD7cW04?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1TAGBHZHCQJv0fhifQ9B-NFSZNgWATza0ZpGS-8noiqMbRpbXB4ANjt7crAk&s,0.511,0.859,0.5,21.3,5.7,5,1.6,0.4,1.8
Karl-Anthony Towns,https://www.youtube-nocookie.com/embed/X088LAOaVys?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIwPYuR-_sbZ-36-2ADKTGbFsV8gLJSCF0wYkffXYhQfnFlpF9CvNkcJoJnxs&s,0.498,0.849,2.1,21.4,8.5,4.6,0.7,0.7,2.8
Lebron James,https://www.youtube-nocookie.com/embed/dtaXHIoqNWc?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkIoRPrDpj7H5qCZJQ2m5oWwUTN4EVlpkswlk9nRFKgbtRUGcWAlHNqxFoACc&s,0.501,0.761,2.3,26.7,7.6,6,0.8,0.5,3.1
Fred Vanvleet,https://www.youtube-nocookie.com/embed/v7Z5G8ucGvk?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRz9ZxzhRgXTL5IW5U8CIWczNZbX99h_3eB_e02_usjrzNA36bjk_GQWCs-QA&s,0.4,0.888,3.1,18.4,3.9,6.4,1.6,0.5,2.1
Dejounte Murray,https://www.youtube-nocookie.com/embed/G503oAW1vV8?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQt36t9fZN_V9LVwhGyl8Rg-YP0IZdhHZfca-Z0uT93OatEC4Pv5uxi2glUeTE&s,0.463,0.822,1.6,20.7,6.5,6.4,1.6,0.3,2.2
Anthony Edwards,https://www.youtube-nocookie.com/embed/1vbWWcj7FQE?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOVJTmwzaM-GlIubbze0RKa0GTgxFVYh8MNUNWnGE32Za2yWgEt1MWAxvznOU&s,0.464,0.769,3,25.8,5.7,4.8,1.6,0.7,3.2
Kawhi Leonard,https://www.youtube-nocookie.com/embed/xcNWBsuUchQ?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6RaPrCv4ygEvqG4CnHKJda96Fluy7kDcCgXCkDPwk7uJvF3qxJIJoMsvSs5M&s,0.504,0.863,1.9,23.2,6.2,3.7,1.3,0.5,1.7
Desmond Bane,https://www.youtube-nocookie.com/embed/oWVm3Zfd4zw?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRuWNv6gNt2a8MFijpIqN0wrl_CwW-FZ1oJwDwlAlV0RQiP7j-l1uVU23-rQ&s,0.47,0.89,3.4,22.6,5.4,4,1.2,0.4,2.2
Bam Adebayo,https://www.youtube-nocookie.com/embed/hj7EpmwUT10?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTE5QCz6NsfSMS7XD_Wz1nX6y3EMn5Iz-GG0eyZwqOmTGHGa1lMTo8mM3gZvIk&s,0.536,0.803,0,20.2,9.8,3.5,1.3,0.8,2.6
Kristaps Porzingis,https://www.youtube-nocookie.com/embed/qFGbfmW0sGc?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFNvzeE_N-luxybN8hl2I995fvQ67fAbetLPE7QVLkOQZa2rw0U3gFcsegXQ&s,0.478,0.852,1.8,18.7,7.9,2.1,0.8,1.5,1.8
Myles Turner,https://www.youtube-nocookie.com/embed/Wn0dzMd95ck?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaEFOR2fYyTL7FTJ8I3JPPQZQO2SKquLhpjZYE093-qgLkWV-V5zAOq2o6g4g&s,0.534,0.774,1.5,16.1,7.4,1.3,0.6,2.3,1.5
De'Aaron Fox,https://www.youtube-nocookie.com/embed/O7GtkEB7cZQ?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYhpX3yQuS5B4WB60BDM9LHQjXnKbDFnhLJD8UtbBJjWMJpik-OGx3J14NcpY&s,0.496,0.774,1.6,25.1,4.2,6.1,1.2,0.4,2.7
Nikola Vucevic,https://www.youtube-nocookie.com/embed/rCDhd0eVrk4?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZaTcqNDT7dpgyeXntmUMjjy1toxxvi6PtXd0_8N0oP7r7t53t6u-Y1ptd5A&s,0.49,0.806,1.5,17.4,11,3.2,0.7,0.7,1.8
Pascal Siakam,https://www.youtube-nocookie.com/embed/5sVD6cybIdg?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPVu4j0LmTOqOvSLDE8O5E8aHK2CLcRXCLKPlINhpsxQj3CCE_N4H1e_cNDWs&s,0.478,0.77,1.2,22.1,7.8,5.7,1,0.5,2.4
Shai Gilgeous-Alexander,https://www.youtube-nocookie.com/embed/SWDEQ-7K0TA?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8sX_ikCHZ7SxTXlPItoVTlrefef9ObEjatIn40-G0FYQpa2YJDdteN92R_oI&s,0.486,0.884,1,29.6,5,5.6,1.5,0.9,2.9
Jaylen Brown,https://www.youtube-nocookie.com/embed/uVezPrADV_Y?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQudujlfMQEJEFH9PnPiF68y2-Rv50dpf_4k_Vh4tfFbz0Rd_lVSLYtzm2WgLU&s,0.494,0.769,2.6,26.4,6.7,3.6,1.1,0.3,2.9
Bam Adebayo,https://www.youtube-nocookie.com/embed/hj7EpmwUT10?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrgooAkE8ObNeQENZuNAyj6-d2i04kuyQLbaCMF3XKLPgv3HFvQ9CGAkk5wFw&s,0.536,0.803,0,20.2,9.8,3.5,1.3,0.8,2.6
Darius Garland,https://www.youtube-nocookie.com/embed/wTijcfMquKo?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2ac72Qa66qTIkR8w9NRZL-qTlsV0sqd5tMCzToyBt7TQUUdzSJKJAbmDyvT4&s,0.462,0.877,2.5,21.8,3,7.8,1.2,0.1,3
Demar Derozan,https://www.youtube-nocookie.com/embed/yeC7Ld1IlGQ?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSyciM4r7jW8dANHynyxgLOPQx-OassIqVUllVlsPCjP71_jbDcSBKWuPCAuw&s,0.504,0.87,0.6,24.7,4.6,4.9,1,0.4,2.1
Cade Cunningham,https://www.youtube-nocookie.com/embed/dPz7Z_EkWzE?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkxqbHxgcYwpjGNOW0Ec7YT4S9ciHb-qUdfPWitDrg7pGKHh5MmzC6dZaQQ_M&s,0.422,0.838,1.8,20.9,6.4,6.6,1.3,0.7,3.3
Evan Mobley,https://www.youtube-nocookie.com/embed/jTOobHbvBUE?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbtXe1gFvuYxB3KYkCNSmQFnh-yiOKBw2v0HYsLFweIXhyaSdRowhaDb02u4Q&s,0.551,0.682,0.3,17.2,9.3,2.9,0.9,1.7,1.9
Victor Wembanyama,https://www.youtube-nocookie.com/embed/dCIiLgHc6b4?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROuXP3hSPD78mPST2YCKXX4QZuA_SUiEwhkRGySgf0iZK0vy-A1XhsINiddw&s,0.454,0.779,1,17.3,8.2,1.8,0.7,2.3,1.8
Jrue Holiday,https://www.youtube-nocookie.com/embed/CqxyScFqAy8?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRW5DHIqxMIUtImSE6wZzWUXzDnLp5Hrm-JfUhjCDM2ZVxq-gB9MGgJSG96lCU&s,0.479,0.808,2.2,16.3,4.8,5.1,1.4,0.4,2.8
Chet Holmgren,https://www.youtube-nocookie.com/embed/TTXba4fNGRg?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQE524W5HgPu3vqcQjwwy2bE88d7BvBpxMa6JS0cB4vYmL840sb-JZI6oTJFA&s,0.48,0.752,1.3,14.3,9.2,1.6,0.5,2,1.2
Mikal Bridges,https://www.youtube-nocookie.com/embed/TevTth5GLus?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_sL9GvM-s6rKPDoFXUFHHw--2wMz1BJsdVjuRQf8MSBrI8F2fRcLP7dcc-bE&s,0.475,0.88,2.4,25.4,4.6,3.4,1.1,0.6,1.8
Deandre Ayton,https://www.youtube-nocookie.com/embed/5qX38aASa3s?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOXuq9TRV8Y_jhIV69_H7mj_MBHp37VD8F3-gpxNsRkSAvPv-gc50C-g33Jjo&s,0.582,0.756,0.1,18.9,10.1,1.7,0.7,0.8,1.8
Zach Lavine,https://www.youtube-nocookie.com/embed/zXVjhetGMzI?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZDrY2fFahuzMxPoLn2aAVp7Rw9MtiAu2P4Y74Xu151VVMi7lCoF9t2aIYZg&s,0.481,0.85,2.6,24.9,4.4,4.3,0.8,0.3,2.6
Tyrese Maxey,https://www.youtube-nocookie.com/embed/v2B6jUQnNoM?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTf4ne7INXnIa2iKrR6CXmao1KY-XXqDzarZGJWMaMjnZyPKVGWKQSGer45bw&s,0.485,0.857,2.9,21.5,3.3,4.4,0.8,0.3,1.3
Jarrett Allen,https://www.youtube-nocookie.com/embed/y2q0WLkXKLo?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIy3dFqk1h_vgstQH7xlCMG7ovGaqrrlgmu83Z8QSgO2t8ARDDnaWpxiT3-S8&s,0.659,0.719,0,14.1,9.7,1.5,0.7,1.2,1.4
Brandon Ingram,https://www.youtube-nocookie.com/embed/k30DyP_1eAA?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZKI1eMLYKcMvtjxStCn3t-2e-a4myzYAZGOL83L2AqU6y-lkzb0bB_Sfrq8E&s,0.472,0.851,1.3,23,5.5,5.5,0.7,0.4,2.9
Zion Williamson,https://www.youtube-nocookie.com/embed/Z5y0I1tLKNk?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_lqgEDYmGf97D5ISJ45Uac7BFste-9xPeHDwHXIw8V96Ldb2D8BYy655IjHM&s,0.606,0.705,0.2,25.3,6.8,4.5,1,0.5,3.4
Ja Morant,https://www.youtube-nocookie.com/embed/4P9TC7Ezrwg?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfVy8SMX-9fmkYMZ_mWETx_TADN0yLuM8gxfPcVIX47tcxfOqmYhkSUt2s6kY&s,0.474,0.754,1.5,26.5,5.8,7.1,1.1,0.3,3.4
Bradley Beal,https://www.youtube-nocookie.com/embed/J_qH67AnRhc?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxXWfjM_itQEcOtIiUCzVnIFJrSWyrIOn3zCk_QRHJcVh54cAhpD078O7jkuA&s,0.478,0.838,1.6,20.8,4.2,5.7,0.9,0.5,3.1
Franz Wagner,https://www.youtube-nocookie.com/embed/mYVHPa7gtpk?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTz3k2X_ussD5tNVke9BzdHcCkUyDzzjnz3l9aFIljZZv2yosEdnVMvU7GKGg&s,0.486,0.86,1.7,18.8,4.6,3.6,1.1,0.3,2
OG Anunoby,https://www.youtube-nocookie.com/embed/Xf6SHcuiEoI?start=35&autoplay=1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHQT174DWrt7mH8Sg_144azgrqEHv8GRsKKZxTgV7Ios_D7j3tDxcb61sPhfA&s,0.461,0.804,2.1,16.1,4.9,2.1,1.6,0.6,1.8
